class_ar,booming,booming_confidence,shrinking,shrinking_confidence,top_5_companies,,,,,,,,
 صُنع المجوهرات المقلَّدة والأصناف ذات الصلة,0,,1,mid,القاهرة بلاستيك ش.م.م (36.13%) | حورس صلب ذ.م.م (18.74%) | القاهرة منسوجات محدودة (17.08%) | اللوتس أغذية ش.م.م (16.96%) | الإسكندرية زراعة ش.ذ.م.م (9.78%),,,,,,,,
 صُنع المجوهرات والأصناف المتصلة,0,,1,mid,سيناء أغذية ش.ذ.م.م (30.76%) | القاهرة كيماويات ش.ذ.م.م (28.60%) | الأهرام صلب محدودة (16.42%) | القاهرة زراعة محدودة (7.64%) | اللوتس أغذية محدودة (7.37%),,,,,,,,
 صُنع المحامل والتروس وعناصر أجهزة التعشيق ونقل الحركة,0,,1,mid,مصر أغذية ش.ذ.م.م (17.03%) | القاهرة منسوجات ذ.م.م (13.81%) | سيناء كيماويات ش.م.م (11.88%) | النيل تجارة ش.ذ.م.م (10.31%) | الجيزة تقنية محدودة (10.25%),,,,,,,,
" صُنع المحرّكات والتوربينات، باستثناء محرّكات الطائرات والسيارات والدرّاجات النارية",1,high,0,,الدلتا كيماويات ذ.م.م (22.64%) | القاهرة أغذية ش.م.م (21.52%) | الأهرام لوجستيات ش.ذ.م.م (16.28%) | اللوتس خدمات ش.ذ.م.م (15.44%) | النيل أغذية ش.ذ.م.م (11.71%),,,,,,,,
 صُنع المشروبات الكحولية من الشعير وصُنع مشروب الشعير,0,,0,,مصر صلب ش.ذ.م.م (29.47%) | النيل لوجستيات ش.م.م (26.35%) | الإسكندرية بلاستيك ذ.م.م (17.60%) | الإسكندرية لوجستيات محدودة (16.22%) | الأهرام بلاستيك ذ.م.م (5.67%),,,,,,,,
 صُنع المشروبات غير الكحولية؛ إنتاج المياه المعدنية والمياه الأخرى المعبأة في زجاجات,0,,1,mid,الأهرام زراعة ش.ذ.م.م (22.22%) | الأهرام تقنية محدودة (18.24%) | مصر صلب محدودة (17.60%) | الجيزة أغذية ش.م.م (16.51%) | القاهرة بلاستيك ذ.م.م (11.29%),,,,,,,,
 صُنع المضخات والضواغط والصنابير والصمامات الأخرى,0,,1,mid,اللوتس لوجستيات ش.م.م (40.87%) | الإسكندرية زراعة ش.م.م (30.25%) | سيناء زراعة ذ.م.م (10.38%) | الجيزة صلب ذ.م.م (10.03%) | اللوتس منسوجات ش.ذ.م.م (7.75%),,,,,,,,
 صُنع المعكرونة وشرائط المعكرونة والكسكسي والمنتجات النشوية المماثلة,0,,1,mid,الإسكندرية أغذية ذ.م.م (27.43%) | اللوتس تقنية ذ.م.م (26.63%) | مصر زراعة ش.ذ.م.م (22.05%) | الجيزة زراعة ش.ذ.م.م (11.29%) | الجيزة كيماويات ذ.م.م (8.68%),,,,,,,,
 صُنع المنتجات الأخرى من البورسلين والخزف,0,,1,mid,حورس خدمات ش.ذ.م.م (28.55%) | الدلتا منسوجات ش.ذ.م.م (16.63%) | الدلتا أغذية محدودة (13.08%) | مصر منسوجات محدودة (9.04%) | القاهرة تقنية ش.م.م (7.45%),,,,,,,,
 صُنع المنتجات الحرارية,0,,0,,الجيزة بلاستيك ش.م.م (26.76%) | الجيزة لوجستيات محدودة (14.09%) | الدلتا زراعة محدودة (8.95%) | الدلتا كيماويات ش.م.م (8.77%) | مصر خدمات محدودة (8.22%),,,,,,,,
 صُنع المنتجات الطفلية الإنشائية,0,,1,mid,الدلتا أغذية ش.ذ.م.م (39.44%) | الدلتا تجارة ش.ذ.م.م (13.59%) | الدلتا تجارة ش.ذ.م.م (11.11%) | القاهرة صلب ش.ذ.م.م (9.61%) | الجيزة كيماويات محدودة (9.59%),,,,,,,,
 صُنع المنتجات الكيميائية الأخرى غير المصنّفة في موضع آخر,0,,1,high,القاهرة تقنية ش.ذ.م.م (23.73%) | حورس أغذية محدودة (12.08%) | اللوتس لوجستيات ش.م.م (11.04%) | الإسكندرية بلاستيك ش.م.م (11.04%) | اللوتس خدمات ش.م.م (7.65%),,,,,,,,
 صُنع المنتجات اللدائنية,0,,0,,النيل صلب محدودة (19.63%) | مصر صلب محدودة (18.46%) | اللوتس منسوجات ش.ذ.م.م (15.06%) | مصر بلاستيك ش.م.م (9.08%) | القاهرة زراعة محدودة (8.79%),,,,,,,,
 صُنع المنتجات المطاطية الأخرى,0,,1,mid,الأهرام تقنية محدودة (39.67%) | سيناء منسوجات ذ.م.م (19.23%) | الدلتا صلب ش.ذ.م.م (17.04%) | سيناء تقنية ذ.م.م (9.80%) | الإسكندرية منسوجات ش.م.م (9.30%),,,,,,,,
 صُنع المنتجات المعدنية الإنشائية,1,mid,1,mid,مصر صلب ذ.م.م (28.96%) | النيل تقنية محدودة (19.76%) | القاهرة كيماويات محدودة (12.69%) | حورس بلاستيك ش.ذ.م.م (11.43%) | حورس بلاستيك ذ.م.م (9.44%),,,,,,,,
 صُنع المنتجات المعدنية اللافلزية الأخرى غير المصنّفة في موضع آخر,0,,0,,مصر أغذية ش.ذ.م.م (22.72%) | الجيزة تجارة ذ.م.م (14.40%) | الدلتا منسوجات ش.م.م (12.49%) | حورس خدمات ذ.م.م (10.00%) | النيل كيماويات ش.م.م (9.87%),,,,,,,,
 صُنع المنسوجات الجاهزة باستثناء الملبوسات,1,mid,1,mid,الجيزة خدمات محدودة (56.54%) | اللوتس خدمات ذ.م.م (15.84%) | القاهرة منسوجات محدودة (11.83%) | سيناء تجارة ش.ذ.م.م (5.21%) | الدلتا كيماويات محدودة (3.52%),,,,,,,,
 صُنع المواد الكيميائية الأساسية,0,,1,mid,مصر منسوجات ش.م.م (27.70%) | القاهرة بلاستيك ذ.م.م (17.23%) | سيناء زراعة ش.ذ.م.م (10.67%) | النيل زراعة ش.م.م (10.18%) | النيل منسوجات ش.ذ.م.م (9.39%),,,,,,,,
 صُنع النشاء ومنتجات النشاء,1,mid,0,,مصر بلاستيك ذ.م.م (20.96%) | حورس تجارة ذ.م.م (14.61%) | الجيزة زراعة ذ.م.م (12.87%) | سيناء أغذية ش.ذ.م.م (11.05%) | سيناء منسوجات ش.ذ.م.م (9.43%),,,,,,,,
 صُنع الورق المموَّج والورق المقوى والأوعية المصنوعة من الورق والورق المقوى,0,,0,,القاهرة تجارة ش.ذ.م.م (19.53%) | النيل لوجستيات ش.ذ.م.م (15.62%) | الإسكندرية صلب محدودة (13.80%) | حورس زراعة ش.م.م (11.52%) | سيناء منسوجات ش.م.م (10.59%),,,,,,,,
 صُنع حبال السُفن والحبال من المجدولات القنبية والشباك,0,,1,mid,حورس زراعة ش.ذ.م.م (25.83%) | حورس تقنية محدودة (20.05%) | سيناء صلب ذ.م.م (15.04%) | الدلتا تجارة ذ.م.م (13.96%) | الأهرام تجارة ذ.م.م (11.35%),,,,,,,,
" صُنع حقائب الأمتعة وحقائب اليد وما شابهها، والسروج والأعنة",0,,1,mid,سيناء خدمات ش.م.م (37.95%) | الجيزة منسوجات ذ.م.م (17.18%) | الجيزة كيماويات ش.م.م (11.82%) | سيناء لوجستيات محدودة (11.61%) | الإسكندرية لوجستيات ش.م.م (10.23%),,,,,,,,
 صُنع رقائق من قشرة الخشب والألواح المصنوعة من الخشب,0,,1,high,الأهرام لوجستيات ذ.م.م (22.52%) | اللوتس تجارة ش.ذ.م.م (20.23%) | حورس زراعة محدودة (16.59%) | مصر زراعة محدودة (11.82%) | الجيزة تجارة محدودة (11.70%),,,,,,,,
 صُنع كابلات الألياف البصرية,0,,0,,الأهرام منسوجات محدودة (23.15%) | اللوتس صلب محدودة (20.35%) | الأهرام أغذية ش.م.م (12.95%) | الأهرام خدمات ش.م.م (11.24%) | مصر تقنية ذ.م.م (7.26%),,,,,,,,
 صُنع مبيدات الآفات والمنتجات الكيميائية الزراعية الأخرى,0,,1,mid,الإسكندرية صلب محدودة (65.65%) | الإسكندرية زراعة محدودة (24.19%) | سيناء منسوجات ش.ذ.م.م (4.33%) | الإسكندرية بلاستيك محدودة (4.33%) | اللوتس خدمات ش.م.م (1.50%),,,,,,,,
 صُنع معدات الرفع والمناولة,0,,0,,القاهرة أغذية ذ.م.م (21.03%) | الجيزة زراعة محدودة (16.22%) | اللوتس كيماويات محدودة (13.98%) | القاهرة زراعة محدودة (12.08%) | اللوتس بلاستيك ش.م.م (11.65%),,,,,,,,
 صُنع معدات القياس والاختبار والملاحة والتحكُّم,0,,1,mid,مصر كيماويات محدودة (44.62%) | الجيزة صلب ذ.م.م (24.46%) | الإسكندرية خدمات ذ.م.م (15.37%) | النيل صلب محدودة (10.21%) | الجيزة كيماويات ش.ذ.م.م (4.29%),,,,,,,,
 صُنع معدات النقل الأخرى غير المصنّفة في موضع آخر,0,,1,mid,الأهرام صلب محدودة (48.05%) | اللوتس أغذية ذ.م.م (18.48%) | اللوتس لوجستيات ش.م.م (12.34%) | سيناء منسوجات ذ.م.م (9.44%) | القاهرة كيماويات محدودة (9.01%),,,,,,,,
 صُنع معدات تعمل بطاقة الموائع,0,,0,,حورس بلاستيك ش.م.م (16.84%) | الإسكندرية كيماويات محدودة (14.83%) | حورس بلاستيك ش.ذ.م.م (11.09%) | الدلتا بلاستيك ذ.م.م (10.75%) | الجيزة تقنية ش.ذ.م.م (8.89%),,,,,,,,
 صُنع منتجات أخرى غير مصنّفة في موضع آخر,1,mid,0,,النيل أغذية محدودة (24.24%) | اللوتس أغذية ش.م.م (20.71%) | اللوتس تقنية محدودة (13.14%) | الإسكندرية بلاستيك ذ.م.م (11.72%) | مصر كيماويات ش.م.م (6.84%),,,,,,,,
 صُنع منتجات الأغذية الأخرى غير المصنَّفة في موضع آخر,0,,0,,القاهرة خدمات محدودة (25.07%) | سيناء تجارة ش.م.م (18.30%) | الجيزة صلب ش.م.م (12.75%) | حورس خدمات ش.م.م (11.07%) | الجيزة كيماويات محدودة (8.91%),,,,,,,,
 صُنع منتجات الألبان,0,,0,,الجيزة لوجستيات ش.م.م (33.69%) | الجيزة منسوجات محدودة (30.58%) | حورس أغذية ش.ذ.م.م (16.19%) | الجيزة كيماويات ش.ذ.م.م (12.46%) | الجيزة منسوجات ش.م.م (7.08%),,,,,,,,
 صُنع منتجات المخابز,0,,1,high,اللوتس خدمات ش.م.م (20.67%) | الجيزة خدمات ذ.م.م (18.56%) | الأهرام بلاستيك محدودة (12.95%) | الإسكندرية زراعة ش.ذ.م.م (11.76%) | اللوتس بلاستيك ش.م.م (8.43%),,,,,,,,
 صُنع منتجات المعادن المشكَّلة الأخرى غير المصنّفة في موضع آخر,0,,1,mid,اللوتس منسوجات ش.ذ.م.م (25.79%) | اللوتس لوجستيات محدودة (24.47%) | مصر صلب ش.ذ.م.م (18.67%) | القاهرة تقنية ش.ذ.م.م (18.05%) | القاهرة كيماويات ش.م.م (7.55%),,,,,,,,
" صُنع منتجات خشبية أخرى، صُنع أصناف الفلِّين والقش ومواد الضفر",0,,1,mid,اللوتس لوجستيات ش.ذ.م.م (56.07%) | سيناء منسوجات ش.م.م (25.35%) | الدلتا بلاستيك ذ.م.م (9.82%) | مصر صلب ش.ذ.م.م (7.36%) | الأهرام بلاستيك ش.ذ.م.م (1.40%),,,,,,,,
 صُنع منتجات طواحين الحبوب,1,mid,1,mid,النيل تجارة محدودة (29.09%) | مصر بلاستيك محدودة (24.38%) | القاهرة تقنية ذ.م.م (17.90%) | اللوتس كيماويات ش.م.م (12.36%) | الجيزة منسوجات ش.م.م (6.32%),,,,,,,,
 صُنع منتجات ومشغولات النجارة اللازمة لعمال البناء,0,,1,high,القاهرة منسوجات ش.م.م (31.52%) | حورس أغذية محدودة (23.55%) | الإسكندرية منسوجات ش.ذ.م.م (12.48%) | سيناء صلب ش.م.م (12.27%) | النيل منسوجات محدودة (9.69%),,,,,,,,
 صُنع منسوجات أخرى غير مصنّفة في موضع آخر,0,,1,high,حورس صلب ش.م.م (31.54%) | اللوتس بلاستيك ذ.م.م (18.56%) | النيل منسوجات ش.م.م (17.06%) | سيناء زراعة محدودة (6.64%) | الأهرام زراعة محدودة (6.64%),,,,,,,,
" صُنع مولِّدات البخار، باستثناء مراجل التدفئة المركزية بالمياه الساخنة",0,,1,high,الدلتا كيماويات ش.م.م (24.90%) | مصر صلب ش.م.م (21.02%) | مصر منسوجات ذ.م.م (19.51%) | الأهرام بلاستيك ش.ذ.م.م (8.94%) | حورس لوجستيات ش.ذ.م.م (8.58%),,,,,,,,
 صُنع وجبات وأطباق جاهزة,0,,0,,حورس خدمات محدودة (25.99%) | حورس لوجستيات ش.ذ.م.م (21.11%) | اللوتس زراعة ذ.م.م (19.15%) | اللوتس لوجستيات محدودة (14.91%) | الإسكندرية لوجستيات ش.م.م (8.18%),,,,,,,,
 غسيل المنسوجات ومنتجات الفراء وتنظيفها )الجاف(,0,,1,mid,الأهرام لوجستيات محدودة (12.93%) | الإسكندرية منسوجات محدودة (11.89%) | الإسكندرية بلاستيك ش.ذ.م.م (9.91%) | اللوتس صلب محدودة (8.87%) | الإسكندرية بلاستيك ذ.م.م (8.70%),,,,,,,,
 قطع وتشكيل وصقل الأحجار,0,,1,mid,الأهرام تجارة ش.ذ.م.م (25.93%) | مصر تجارة ش.م.م (24.38%) | الدلتا منسوجات ذ.م.م (15.47%) | الدلتا كيماويات ش.ذ.م.م (10.68%) | الجيزة صلب ش.م.م (10.00%),,,,,,,,
 مرافق تقديم الرعاية التمريضية مع الإقامة,0,,0,,الأهرام كيماويات ذ.م.م (10.10%) | الأهرام صلب ش.م.م (9.95%) | اللوتس خدمات ذ.م.م (8.93%) | حورس منسوجات ذ.م.م (7.67%) | سيناء بلاستيك محدودة (7.17%),,,,,,,,
 معالجة البذور للتكاثر,0,,1,mid,الجيزة خدمات ذ.م.م (18.86%) | القاهرة زراعة ذ.م.م (15.30%) | القاهرة أغذية محدودة (13.64%) | الجيزة منسوجات ش.م.م (10.13%) | مصر لوجستيات ش.ذ.م.م (6.07%),,,,,,,,
 معالجة النفايات الخطرة وتصريفها,0,,1,mid,حورس تجارة محدودة (33.37%) | الجيزة تجارة ش.م.م (24.05%) | مصر تجارة ش.ذ.م.م (17.41%) | الإسكندرية تقنية ذ.م.م (6.96%) | سيناء منسوجات ش.ذ.م.م (5.90%),,,,,,,,
 معالجة النفايات غير الخطرة وتصريفها,0,,1,high,اللوتس أغذية محدودة (21.75%) | حورس كيماويات ذ.م.م (20.26%) | الدلتا كيماويات ش.م.م (18.86%) | الجيزة زراعة ذ.م.م (14.79%) | القاهرة كيماويات ش.ذ.م.م (6.86%),,,,,,,,
 معالجة وطلي المعادن؛ المعالجة بالآلات,0,,1,mid,اللوتس تقنية ذ.م.م (25.54%) | الأهرام كيماويات محدودة (24.17%) | الأهرام منسوجات ش.ذ.م.م (20.73%) | الإسكندرية لوجستيات ش.م.م (14.75%) | سيناء أغذية ش.ذ.م.م (6.61%),,,,,,,,
 مناولة البضائع,1,mid,1,mid,سيناء صلب محدودة (17.64%) | الجيزة منسوجات محدودة (8.88%) | النيل زراعة ش.ذ.م.م (8.63%) | سيناء لوجستيات محدودة (8.50%) | مصر منسوجات ش.ذ.م.م (7.55%),,,,,,,,
 نسج المنسوجات,0,,1,mid,الإسكندرية زراعة ش.م.م (27.23%) | الدلتا صلب ش.ذ.م.م (23.32%) | سيناء بلاستيك ش.ذ.م.م (18.36%) | القاهرة بلاستيك ذ.م.م (18.03%) | حورس تقنية محدودة (5.99%),,,,,,,,
 نشر الأدلة وقوائم العناوين البريدية,1,high,0,,سيناء تجارة ذ.م.م (21.16%) | اللوتس بلاستيك ش.م.م (12.96%) | النيل كيماويات ش.ذ.م.م (8.95%) | اللوتس أغذية محدودة (7.35%) | الإسكندرية خدمات ذ.م.م (7.35%),,,,,,,,
 نشر الصُحف والمجلات والدوريات,1,mid,1,mid,مصر خدمات ذ.م.م (22.22%) | حورس تجارة ش.م.م (12.16%) | الإسكندرية صلب محدودة (10.47%) | اللوتس صلب ش.ذ.م.م (9.01%) | القاهرة خدمات محدودة (8.44%),,,,,,,,
 نشر الكُتب,0,,0,,اللوتس منسوجات ش.ذ.م.م (14.45%) | النيل تجارة ذ.م.م (12.27%) | الأهرام زراعة ش.م.م (10.58%) | القاهرة صلب ذ.م.م (7.77%) | حورس تجارة ش.م.م (7.37%),,,,,,,,
 نقل البضائع بالسكك الحديدية,0,,1,mid,الإسكندرية بلاستيك ش.ذ.م.م (15.98%) | الأهرام لوجستيات ش.م.م (8.56%) | اللوتس خدمات ذ.م.م (8.39%) | حورس تقنية محدودة (6.26%) | حورس تجارة محدودة (5.19%),,,,,,,,
 نقل الركاب بالسكك الحديدية فيما بين المدن,0,,0,,القاهرة كيماويات محدودة (13.51%) | الدلتا صلب ش.ذ.م.م (11.23%) | مصر تقنية محدودة (9.49%) | الإسكندرية لوجستيات ذ.م.م (8.22%) | سيناء منسوجات ش.ذ.م.م (8.08%),,,,,,,,
إصلاح المعدات الأخرى,0,,1,mid,الأهرام لوجستيات ش.ذ.م.م (33.67%) | الإسكندرية صلب ذ.م.م (22.34%) | حورس صلب ش.م.م (20.15%) | الإسكندرية لوجستيات محدودة (9.65%) | مصر خدمات ذ.م.م (5.78%),,,,,,,,
